allow_tf32_cudnn,allow_tf32_matmul,avg_power_w,below_30s_floor,benchmark,config_id,device_requested,driver_version,dtype,energy_j,energy_j_counter,exclusion_reason,git_commit,gpu_model_observed,gpu_model_torch,gpu_uuid,hardware_source,idle_post_context_avg_w,idle_post_context_duration_s,idle_post_context_min_w,idle_post_context_n_samples,idle_post_context_peak_w,idle_pre_context_avg_w,idle_pre_context_duration_s,idle_pre_context_min_w,idle_pre_context_n_samples,idle_pre_context_peak_w,idle_skip_reason,image_ref,inner_iters,iters,min_power_w,n,n_failed_power_samples,n_power_samples,node_name,peak_power_w,power_duration_s,power_trace_path,power_window,precision,repeat_index,result_checksum,run_id,run_utc,runtime_s,seed,torch_version,total_flops,warmup_iters,work_hash,work_hash_covers,work_hash_kind,workload,arch,batch_size,batches_completed,final_loss,warmup_batches,all_rows_identical,allow_bf16_reduced_precision_reduction,allow_fp16_reduced_precision_reduction,cuda_version,cudnn_conv_fp32_precision,deterministic_algorithms,distinct_token_ratio,do_sample,iterations_identical,longest_repeated_ngram,matmul_fp32_precision,max_new_tokens,min_new_tokens,model_id,model_key,model_revision,num_beams,nvml_error,pod_name,prompt_hash,prompt_token_count,resolved_dtype,sm_capability,tf32_effective,tf32_requested,tokens_generated_per_iteration,tokens_generated_total,transformers_version,use_cache,work_hash_encoding
False,False,234.26626561324346,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,64104.666870355344,64127.082,,7172f682f4b04a8e602c6d36f504e2f8e1402d1b,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.126888513513457,59.955206218059175,9.033,296,57.467,9.474949152542386,59.87522758101113,8.886,295,15.423,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:8f033c5afd8457c9e7ede5c805981631a4723df94e0576940e9c0b1934727899,2000,2000,186.747,8192,0,1329,k8s-gpu-1.ucsc.edu,290.546,273.79371885291766,matmul/20260823T092427Z-matmul-r1-p57_power.csv,region,fp32,1,137427567278.96912,20260823T092427Z-matmul-r1-p57,2026-08-23T09:24:27+00:00,273.7877033969853,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,219.60132956152776,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,64476.61766707661,64489.614,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.796307432432446,60.035777717945166,9.127,296,58.017,9.64469047619048,59.821526873041876,9.129,294,15.317,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,177.579,8192,0,1414,k8s-gpu-1.ucsc.edu,285.808,293.99409030901734,matmul/20260823T100559Z-matmul-r1-p57_power.csv,region,fp32,1,137427567278.96912,20260823T100559Z-matmul-r1-p57,2026-08-23T10:05:59+00:00,293.9922510359902,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,211.4687644628103,False,resnet_train,resnet50|cifar10|fp32|b32|n1000|s20260818,cuda:0,580.178.04,,41964.50386612642,43340.975,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.53070608108106,59.99546563799959,9.369,296,58.857,17.391533783783768,59.99441399401985,9.709,296,72.712,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,1000,,116.947,,0,968,k8s-gpu-1.ucsc.edu,328.487,198.59666589600965,resnet_train/20260823T101132Z-resnet_train-r1-p74_power.csv,region,fp32,1,,20260823T101132Z-resnet_train-r1-p74,2026-08-23T10:11:32+00:00,198.5931616340531,20260818,2.5.1+cu121,,,acae053eda706ed0b799e385cda9f5c959881aad3d0e1171c0085f40c10f6bde,"seed, dataset indices and workload shape, not trained weights",config,resnet_train,resnet50,32,1000,1.404631495475769,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,230.9567937685461,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,63965.84615478446,63993.119,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.369172297297293,59.95914498704951,9.129,296,58.012,9.703050847457625,59.97149097500369,9.129,295,15.559,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,188.341,8192,0,1348,k8s-gpu-1.ucsc.edu,287.459,277.04892587207723,matmul/20260823T102110Z-matmul-r1-p57_power.csv,region,fp32,1,137427567278.96912,20260823T102110Z-matmul-r1-p57,2026-08-23T10:21:10+00:00,277.04275301704183,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,221.4334446823699,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,63690.43236973727,63729.626,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.369172297297293,59.95914498704951,9.129,296,58.012,9.703050847457625,59.97149097500369,9.129,295,15.559,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,187.969,8192,0,1401,k8s-gpu-1.ucsc.edu,280.729,287.613908952917,matmul/20260823T102604Z-matmul-r2-p57_power.csv,region,fp32,2,137427567278.96912,20260823T102604Z-matmul-r2-p57,2026-08-23T10:26:04+00:00,287.6066298279911,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,223.5131359712235,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,63782.94652028892,63835.175,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.369172297297293,59.95914498704951,9.129,296,58.012,9.703050847457625,59.97149097500369,9.129,295,15.559,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,178.518,8192,0,1390,k8s-gpu-1.ucsc.edu,281.93,285.3715435269987,matmul/20260823T103056Z-matmul-r3-p57_power.csv,region,fp32,3,137427567278.96912,20260823T103056Z-matmul-r3-p57,2026-08-23T10:30:56+00:00,285.3621105229249,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,173.88958876629925,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,595.91.07,torch.float32,35334.04990795826,33457.998,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce RTX 2080 Ti,NVIDIA-GeForce-RTX-2080-Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,pynvml,19.83264726027398,59.89201564597897,5.437,292,52.598,5.9716735395189025,59.99309754604474,4.375,291,7.93,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,171.298,8192,0,997,k8s-haosu-18.sdsc.optiputer.net,178.718,203.20473865699023,matmul/20260823T103528Z-matmul-r1-p57_power.csv,region,fp32,1,137427567278.96912,20260823T103528Z-matmul-r1-p57,2026-08-23T10:35:29+00:00,203.2018047121819,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,223.7825418470419,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,63750.28428425612,63795.651,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.369172297297293,59.95914498704951,9.129,296,58.012,9.703050847457625,59.97149097500369,9.129,295,15.559,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,195.029,8192,0,1386,k8s-gpu-1.ucsc.edu,278.619,284.88505296909716,matmul/20260823T103547Z-matmul-r4-p57_power.csv,region,fp32,4,137427567278.96912,20260823T103547Z-matmul-r4-p57,2026-08-23T10:35:47+00:00,284.8783194649732,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,173.20287920792086,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,595.91.07,torch.float32,35677.44757940239,33745.581,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce RTX 2080 Ti,NVIDIA-GeForce-RTX-2080-Ti,GPU-1b9d9ca0-6745-6218-37cb-6ca80fc2d761,pynvml,19.83264726027398,59.89201564597897,5.437,292,52.598,5.9716735395189025,59.99309754604474,4.375,291,7.93,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,170.45,8192,0,1010,k8s-haosu-18.sdsc.optiputer.net,176.424,205.98931228998117,matmul/20260823T103859Z-matmul-r2-p57_power.csv,region,fp32,2,137427567278.96912,20260823T103859Z-matmul-r2-p57,2026-08-23T10:38:59+00:00,205.98291351483203,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
False,False,216.7651911554921,False,matmul,matmul|n8192|fp32|i2000|s20260818,cuda,580.178.04,torch.float32,63709.045286174885,63696.77,,9f614f9d829b652abbe29c5c6602c2071f435a09,NVIDIA GeForce GTX 1080 Ti,NVIDIA-GeForce-GTX-1080-Ti,GPU-3feaff09-dfc5-f477-fd0f-dd4e11826aa2,pynvml,25.369172297297293,59.95914498704951,9.129,296,58.012,9.703050847457625,59.97149097500369,9.129,295,15.559,,ghcr.io/aravadhikari05/gpu-retirement-analysis@sha256:9e62c0de6a56b995a1de66269cb1d26666f099390fb90c83e7aaca9f360877e4,2000,2000,186.188,8192,0,1402,k8s-gpu-1.ucsc.edu,281.353,293.7700210569892,matmul/20260823T104048Z-matmul-r5-p57_power.csv,region,fp32,5,137427567278.96912,20260823T104048Z-matmul-r5-p57,2026-08-23T10:40:48+00:00,293.7681274849456,20260818,2.5.1+cu121,2199023255552000,10,3bbd5bd4d6ffd967da24ad12bf21d2c6ce2f3a1bc6b57c8cfd3a7407af188242,"inputs and work shape, not the product",config,matmul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
